timestamp,Basilea_Temperature,Basilea_Relative_Humidity,Basilea_Wind_Speed,Basilea_Wind_Direction
20210609T1200,19.910528,72.0,5.0911684,315.0
20210609T1300,20.340528,70.0,7.5685663,334.65384
20210609T1400,23.56053,56.0,6.6185193,67.61986
20210609T1500,22.72053,56.0,7.42159,112.83366
20210609T1600,22.520529,55.0,3.563818,135.0
20210609T1700,23.31053,52.0,2.8116899,320.19443
20210609T1800,22.780529,55.0,8.373386,334.53668
20210609T1900,22.270529,57.0,7.5942073,354.5597
20210609T2000,21.72053,59.0,6.4799995,360.0
20210609T2100,20.920528,63.0,5.0528407,355.91437
20210609T2200,20.330528,65.0,3.319036,347.4712
20210609T2300,19.580528,68.0,1.4399999,270.0
20210610T0000,18.690529,72.0,3.219938,243.43495
20210610T0100,17.81053,75.0,3.7585104,253.30075
20210610T0200,16.930529,79.0,3.0758414,249.44395
20210610T0300,16.330528,81.0,3.096837,215.53769
20210610T0400,15.860529,83.0,3.319036,192.52881
20210610T0500,15.470529,84.0,4.0249224,169.69516
20210610T0600,15.210529,85.0,4.8965297,143.97263
20210610T0700,15.530529,85.0,4.198285,120.96376
20210610T0800,16.910528,80.0,7.754637,111.80141
20210610T0900,19.05053,71.0,9.0645685,96.84277
20210610T1000,20.930529,64.0,8.473393,77.73522
20210610T1100,21.910528,60.0,6.9153743,51.34018
20210610T1200,22.670528,58.0,6.725354,15.524109
20210610T1300,23.410528,55.0,7.2359104,5.7105865
20210610T1400,24.63053,54.0,8.759178,9.462311
20210610T1500,25.020529,52.0,8.707238,7.125
20210610T1600,25.29053,51.0,10.495713,5.906128
20210610T1700,24.500528,52.0,11.570515,5.3558044
20210610T1800,23.97053,54.0,10.799999,360.0
20210610T1900,23.96053,55.0,9.779817,353.65985
20210610T2000,23.260529,57.0,8.473393,347.73523
20210610T2100,22.190529,62.0,7.754637,338.1986
20210610T2200,21.020529,68.0,6.489992,326.30994
20210610T2300,19.97053,73.0,2.9024127,330.25513
20210611T0000,18.88053,78.0,0.0,180.0
20210611T0100,17.990528,81.0,1.4399999,270.0
20210611T0200,17.20053,83.0,0.35999998,360.0
20210611T0300,16.37053,86.0,1.4399999,89.99999
20210611T0400,15.960529,86.0,2.7416782,113.19859
20210611T0500,15.520529,87.0,4.072935,135.0
20210611T0600,15.460529,88.0,4.0249224,153.43495
20210611T0700,15.990529,87.0,1.9386592,158.1986
20210611T0800,17.73053,78.0,3.396233,122.00538
20210611T0900,19.81053,69.0,3.2599385,96.34019
20210611T1000,21.690529,61.0,2.4149535,63.43495
20210611T1100,22.740528,57.0,2.8116899,50.194427
20210611T1200,23.410528,55.0,3.8939953,33.690063
20210611T1300,24.010529,53.0,5.3517847,47.726303
