fid,X,FECHA,HORA,MES,N,UBICACION,CRUCE,UBICACION_CRUCE,NUCLEO,ALCOHOLEMIA,GRAVEDAD,HERIDO_HOSP-24,HERIDO_HOSP+24,FALLECIDOS,ALCANCE,ATROPELLO,CAIDA,CHOQUE,COLISION,MARCHA_ATRAS,SALIDA_DE_VIA,SIN_CLASIF,VUELCO,AUTOR_DESC,N_VEHÍC,TURISMO,FURGON,CAMION,AUTOBUS,MOTOCICLET,CICLOMOTOR,BICICLETA,VMP,PEATON,ANIMAL,OTROS,DIA_SEMANA,DESNIVEL,TIPO_VIA,SENTIDO_UNICO,CARRILES_SENTIDO,VELOCIDAD_TRAMO,AÑO,Horario_Sol_AMANECER,Horario_Sol_OCASO,Aemet_prec
"1",2.4802182,2020/01/03,13:25:00,ENERO,"25",CL RAMON DE MONTCADA,FALSO,,SANTA PONSA,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,"6",,,falso,,,"2020",08:10,17:37,"0,0"
"2",2.5677552,2020/01/03,12:00:00,ENERO,,CL BENITO J. FEIJOO,FALSO,,COSTA DEN BLANES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:10,17:37,"0,0"
"3",2.5720599,2020/01/03,07:30:00,ENERO,,CL JAPO,FALSO,,PORTALS NOUS,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:10,17:37,"0,0"
"4",2.5386984,2020/01/03,17:20:00,ENERO,"7",AV PLATJA,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:10,17:37,"0,0"
"5",2.4764876,2020/01/03,19:27:00,ENERO,,AV SANTA PONSA,VERDADERO,GV PORT,SANTA PONSA,Positivo,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:10,17:37,"0,0"
"6",2.5383184,2020/01/05,19:20:00,ENERO,"5",CL JOAN ALCOVER,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2020",08:10,17:39,"0,0"
"7",2.4883346,2020/01/09,13:33:00,ENERO,"122",AV REI JAUME I,FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2020",08:10,17:43,"0,0"
"8",2.5935662,2020/01/09,08:40:00,ENERO,,CL ARXIDUC,FALSO,,CAS CATALA-SES ILLETES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2020",08:10,17:43,"0,0"
"9",2.4779053,2020/01/10,19:30:00,ENERO,,CL PUIG DE LA SIRVI,VERDADERO,AV BLAI BONET,SANTA PONSA,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:10,17:44,"3,8"
"10",2.47784,2020/01/10,19:25:00,ENERO,,CL PUIG DE LA SIRVI,VERDADERO,AV BLAI BONET,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:10,17:44,"3,8"
"11",2.4841577,2020/01/10,11:45:00,ENERO,"102",AV REI JAUME I,FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:10,17:44,"3,8"
"12",2.5398143,2020/01/10,15:00:00,ENERO,,CL MARTIN ROS GARCIA,VERDADERO,CL CALA BLANCA,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:10,17:44,"3,8"
"13",2.5306642,2020/01/11,04:27:00,ENERO,,AV PALMERES,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2020",08:10,17:45,"0,0"
"14",2.47883818384793,2020/01/11,14:35:00,ENERO,"21",CL RAMON DE MONTCADA,FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2020",08:10,17:45,"0,0"
"15",2.5346066,2020/01/12,13:45:00,ENERO,"3",CL JAUME I,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",,,,,,"2020",08:09,17:46,"0,0"
"16",2.5057574,2020/01/12,11:30:00,ENERO,"47",CL TUDO,FALSO,,SON FERRER,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2020",08:09,17:46,"0,0"
"17",2.5939886,2020/01/12,18:15:00,ENERO,,CL OLIVERA,FALSO,,CAS CATALA-SES ILLETES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2020",08:09,17:46,"0,0"
"18",2.4884673,2020/01/12,13:20:00,ENERO,,AV REI JAUME I,VERDADERO,CL RIU SIL,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2020",08:09,17:46,"0,0"
"19",2.4891631,2020/01/13,08:30:00,ENERO,"123",AV REI JAUME I,FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",08:09,17:47,"0,0"
"20",2.5092275,2020/01/13,17:15:00,ENERO,"61",CL VALENCIA,FALSO,,SON BUGADELLES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",08:09,17:47,"0,0"
"21",2.5648452,2020/01/14,13:00:00,ENERO,,CL BENITO J. FEIJOO,FALSO,,COSTA DEN BLANES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"3",,,,,,"2020",08:09,17:48,"0,0"
"22",2.5058504,2020/01/15,14:00:00,ENERO,"11",CL CAN FERRER,FALSO,,SON FERRER,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2020",08:08,17:49,"0,0"
"23",2.5339875,2020/01/16,11:40:00,ENERO,,CL CONTRALMIRALL FERRAGUT,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,"1",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2020",08:08,17:50,"0,0"
"24",2.5323096,2020/01/16,10:30:00,ENERO,,AV OLIVERA,VERDADERO,CL MINO,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2020",08:08,17:50,"0,0"
"25",2.5723616,2020/01/17,17:00:00,ENERO,"1",PZ PORTALS,FALSO,,PORTALS NOUS,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:08,17:51,"0,0"
"26",2.5874742,2020/01/17,11:20:00,ENERO,,AV MALLORCA,FALSO,,BENDINAT,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:08,17:51,"0,0"
"27",2.4976575,2020/01/17,10:20:00,ENERO,"3",AV PUIG DE SARAGOSSA,FALSO,,GALATZO,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,"2",FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:08,17:51,"0,0"
"28",2.5378249,2020/01/18,13:40:00,ENERO,"28",PS MAR,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2020",08:07,17:52,"1,4"
"29",2.5327846,2020/01/19,08:55:00,ENERO,"16",AV OLIVERA,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2020",08:07,17:53,"38,6"
"30",2.5081994,2020/01/19,16:00:00,ENERO,,CR MAGALUF-S.PONSA,VERDADERO,CL TUDO,SON FERRER,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2020",08:07,17:53,"38,6"
"31",2.5179638,2020/01/19,13:10:00,ENERO,,CR MAGALUF-S.PONSA,FALSO,,SA PORRASSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2020",08:07,17:53,"38,6"
"32",2.4905506,2020/01/19,18:40:00,ENERO,"158",AV REI JAUME I,FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2020",08:07,17:53,"38,6"
"33",2.501988,2020/01/20,07:49:00,ENERO,"10",CL MUSSOL,FALSO,,SON FERRER,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",08:06,17:55,"16,9"
"34",2.5014179,2020/01/20,15:50:00,ENERO,,CL ROSSINYOL,FALSO,,SON FERRER,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",08:06,17:55,"16,9"
"35",2.5649661,2020/01/20,15:30:00,ENERO,"5",CL BENITO J. FEIJOO,FALSO,,COSTA DEN BLANES,Positivo,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",08:06,17:55,"16,9"
"36",2.5123542,2020/01/21,20:20:00,ENERO,,CR MAGALUF-S.PONSA,FALSO,,SON FERRER,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",,,,,,"2020",08:06,17:56,"2,3"
"37",2.5473357,2020/01/21,16:27:00,ENERO,"33",CL CASTELLO,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",,,,,,"2020",08:06,17:56,"2,3"
"38",2.5292908,2020/01/22,11:10:00,ENERO,,AV PALMERES,VERDADERO,CM PORRASSA,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2020",08:05,17:57,"3,6"
"39",2.5216195,2020/01/23,18:10:00,ENERO,,CR CALA FIGUERA,FALSO,,SA PORRASSA,Negativa,HERIDO_HOSP-24,"1","0","0",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2020",08:05,17:58,"0,0"
"40",2.5180046,2020/01/23,09:45:00,ENERO,,CR MAGALUF-S.PONSA,FALSO,,SA PORRASSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2020",08:05,17:58,"0,0"
"41",2.5957666,2020/01/23,23:30:00,ENERO,"7000",CR ANDRATX,FALSO,,CAS CATALA-SES ILLETES,Positivo,HERIDO_HOSP+24,"0","1","0",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2020",08:05,17:58,"0,0"
"42",2.46621,2020/01/25,05:20:00,ENERO,"2",GV ILLA ESPALMADOR,FALSO,,SANTA PONSA,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2020",08:03,18:00,"0,0"
"43",2.5305211,2020/01/27,07:20:00,ENERO,"8",CL LOPE DE VEGA,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,"1",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",08:02,18:03,"0,0"
"44",2.5304138,2020/01/27,19:00:00,ENERO,"8",CL LOPE DE VEGA,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,"1",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",08:02,18:03,"0,0"
"45",2.5342243,2020/01/28,11:30:00,ENERO,"4",CL CARLOS SAENZ DE TEJADA GARCIA,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",,,,,,"2020",08:01,18:04,"0,0"
"46",2.5364869,2020/01/28,13:45:00,ENERO,"44",PS MAR,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",,,,,,"2020",08:01,18:04,"0,0"
"47",2.4871485,2020/01/28,11:40:00,ENERO,"23",CL RIU SIL,FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",,,,,,"2020",08:01,18:04,"0,0"
"48",2.4754885,2020/01/29,09:00:00,ENERO,"84",CL BELGICA,FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2020",08:00,18:05,"0,0"
"49",2.5662188,2020/01/29,14:50:00,ENERO,,AV TOMAS BLANES TOLOSA,VERDADERO,CL SANTA LAVINIA,COSTA DEN BLANES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2020",08:00,18:05,"0,0"
"50",2.4917819,2020/01/30,09:00:00,ENERO,"158",AV REI JAUME I,FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2020",07:59,18:06,"0,0"
"51",2.540153,2020/02/01,10:10:00,FEBRERO,,CL MALAGA,FALSO,,PALMANOVA,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,"7",,,,,,"2020",07:58,18:09,"0,0"
"52",2.5326284,2020/02/01,04:30:00,FEBRERO,"46",AV OLIVERA,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2020",07:58,18:09,"0,0"
"53",2.5361147,2020/02/02,11:10:00,FEBRERO,"11",PS MAR,FALSO,,PALMANOVA,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2020",07:57,18:10,"0,0"
"54",2.48356,2020/02/03,21:10:00,FEBRERO,"8",(GV PUIG DE MASSANELLA),FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",07:56,18:11,"0,0"
"55",2.468842,2020/02/03,15:50:00,FEBRERO,,CL MARTINEZ DE LA ROSA,VERDADERO,CL MURILLO,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",07:56,18:11,"0,0"
"56",2.4824302,2020/02/03,08:45:00,FEBRERO,"37",CL REINA ISABEL CATOLICA,FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",07:56,18:11,"0,0"
"57",2.448012,2020/02/04,16:00:00,FEBRERO,"1",CL LLUM,FALSO,,PAGUERA,Positivo,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,"3",,,,,,"2020",07:55,18:12,"0,1"
"58",2.5020965,2020/02/05,16:10:00,FEBRERO,,CL SON THOMAS,VERDADERO,CL MAR MEDITERRANIA,SON BUGADELLES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2020",07:54,18:13,"0,0"
"59",2.5370557,2020/02/05,10:15:00,FEBRERO,"1",AV CAS SABONERS,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2020",07:54,18:13,"0,0"
"60",2.5141839,2020/02/05,20:30:00,FEBRERO,"5",CM QUARTERADES,FALSO,,CALVIA,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2020",07:54,18:13,"0,0"
"61",2.5189355,2020/02/06,15:30:00,FEBRERO,"22",CR CALA FIGUERA,FALSO,,SA PORRASSA,Positivo,Sin Heridos,"0","0","0",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2020",07:53,18:15,"0,0"
"62",2.4900395,2020/02/06,17:15:00,FEBRERO,,PZ JARDI,FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2020",07:53,18:15,"0,0"
