fid,X,FECHA,HORA,MES,N,UBICACION,CRUCE,UBICACION_CRUCE,NUCLEO,ALCOHOLEMIA,GRAVEDAD,HERIDO_HOSP-24,HERIDO_HOSP+24,FALLECIDOS,ALCANCE,ATROPELLO,CAIDA,CHOQUE,COLISION,MARCHA_ATRAS,SALIDA_DE_VIA,SIN_CLASIF,VUELCO,AUTOR_DESC,N_VEHÍC,TURISMO,FURGON,CAMION,AUTOBUS,MOTOCICLET,CICLOMOTOR,BICICLETA,VMP,PEATON,ANIMAL,OTROS,DIA_SEMANA,DESNIVEL,TIPO_VIA,SENTIDO_UNICO,CARRILES_SENTIDO,VELOCIDAD_TRAMO,AÑO,Horario_Sol_AMANECER,Horario_Sol_OCASO,Aemet_prec
"377",2.48857,2020/09/28,12:25:00,SEPTIEMBRE,,AV REI JAUME I,FALSO,,SANTA PONSA,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",07:43,19:36,"0,0"
"378",2.5719301,2020/09/29,15:35:00,SEPTIEMBRE,,CR ANDRATX,FALSO,,PORTALS NOUS,Negativa,Sin Heridos,"0","0","0",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,"2",VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",,,,,,"2020",07:44,19:35,"0,0"
"379",2.5093247,2020/09/29,09:00:00,SEPTIEMBRE,"5",CL SON BUGADELLES,FALSO,,SON BUGADELLES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",,,,,,"2020",07:44,19:35,"0,0"
"380",2.5057899,2020/09/29,12:25:00,SEPTIEMBRE,"6",CL VALENCIA,FALSO,,SON BUGADELLES,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",,,,,,"2020",07:44,19:35,"0,0"
"381",2.4798537,2020/09/30,07:45:00,SEPTIEMBRE,,AV REI JAUME I,VERDADERO,CL LISBOA,SANTA PONSA,Positivo,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2020",07:45,19:33,"0,0"
"382",2.5478158,2020/09/30,15:30:00,SEPTIEMBRE,,CL SARAGOSSA,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2020",07:45,19:33,"0,0"
"383",2.507844,2020/09/30,19:05:00,SEPTIEMBRE,"36",CL ALACANT,FALSO,,SON BUGADELLES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2020",07:45,19:33,"0,0"
"384",2.5857775,2020/10/02,01:35:00,OCTUBRE,"24",AV MALLORCA,FALSO,,BENDINAT,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",07:47,19:30,"5,7"
"385",2.5279389,2020/10/03,03:25:00,OCTUBRE,"5",CL SOL,FALSO,,SOL DE MALLORCA,Positivo,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2020",07:48,19:28,"0,0"
"386",2.5247854,2020/10/03,16:15:00,OCTUBRE,,CM PORRASSA,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2020",07:48,19:28,"0,0"
"387",2.5306809,2020/10/04,02:10:00,OCTUBRE,,AV CAS SABONERS,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2020",07:49,19:27,"0,0"
"388",2.5409177,2020/10/05,12:35:00,OCTUBRE,"20",CL ROSES BERMEJO,FALSO,,PALMANOVA,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",07:50,19:25,"0,2"
"389",2.4470881,2020/10/05,12:30:00,OCTUBRE,"36",AV PEGUERA,FALSO,,PAGUERA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",07:50,19:25,"0,2"
"390",2.4862387,2020/10/06,11:25:00,OCTUBRE,"19",AV SANTA PONSA,FALSO,,SANTA PONSA,Negativa,HERIDO_HOSP+24,"0","2","0",FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,"3",,,,,,"2020",07:51,19:23,"0,0"
"391",2.5334399,2020/10/06,09:50:00,OCTUBRE,"31",CL SIRENES,FALSO,,BADIA DE PALMA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,"1",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",,,,,,"2020",07:51,19:23,"0,0"
"392",2.588753,2020/10/06,11:50:00,OCTUBRE,"2",CL RAFAEL ALBERTI,FALSO,,BENDINAT,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",,,,,,"2020",07:51,19:23,"0,0"
"393",2.5728134,2020/10/07,08:00:00,OCTUBRE,"7",CL ORATORI,FALSO,,PORTALS NOUS,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2020",07:52,19:22,"0,0"
"394",2.4715228,2020/10/07,10:45:00,OCTUBRE,,CL Z.V. PALMERAS,FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2020",07:52,19:22,"0,0"
"395",2.5330755,2020/10/07,11:45:00,OCTUBRE,"9",CL JAUME I,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2020",07:52,19:22,"0,0"
"396",2.5358261,2020/10/07,11:10:00,OCTUBRE,"18",AV PERE VAQUER,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2020",07:52,19:22,"0,0"
"397",2.4971914,2020/10/08,13:45:00,OCTUBRE,"1",AV PUIG DE SARAGOSSA,FALSO,,GALATZO,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2020",07:53,19:20,"0,0"
"398",2.547163,2020/10/08,14:00:00,OCTUBRE,"1",CL SARAGOSSA,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2020",07:53,19:20,"0,0"
"399",2.5406092,2020/10/09,18:50:00,OCTUBRE,"1",CL MARQUES TORRE,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",07:54,19:19,"0,0"
"400",2.5077487,2020/10/10,11:55:00,OCTUBRE,"45",CL VALENCIA,FALSO,,SON BUGADELLES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2020",07:55,19:17,"2,0"
"401",2.565081,2020/10/10,21:00:00,OCTUBRE,"9",CL BENITO J. FEIJOO,FALSO,,COSTA DEN BLANES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2020",07:55,19:17,"2,0"
"402",2.5170957,2020/10/12,15:25:00,OCTUBRE,,CR MAGALUF-S.PONSA,VERDADERO,PASSEIG CALVIA,SA PORRASSA,Positivo,HERIDO_HOSP-24,"2","0","0",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",07:57,19:14,"0,0"
"403",2.5073163,2020/10/12,23:55:00,OCTUBRE,,CR MAGALUF-S.PONSA,FALSO,,SON FERRER,Negativa,Fallecido,"0","0","1",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,"1",FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",07:57,19:14,"0,0"
"404",2.5342234,2020/10/12,19:35:00,OCTUBRE,,CL PINZONS,VERDADERO,CL PARIS,PALMANOVA,Positivo,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",07:57,19:14,"0,0"
"405",2.4477758,2020/10/12,21:50:00,OCTUBRE,"15",CR CALA FORNELLS,FALSO,,PAGUERA,Positivo,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",07:57,19:14,"0,0"
"406",2.5889751,2020/10/13,14:53:00,OCTUBRE,,PS ILLETES,FALSO,,CAS CATALA-SES ILLETES,Negativa,HERIDO_HOSP+24,"0","1","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",,,,,,"2020",07:58,19:13,"6,7"
"407",2.5420772,2020/10/14,09:25:00,OCTUBRE,,CL MAR CARIB,VERDADERO,CL MARQUES TORRE,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2020",07:59,19:11,"1,6"
"408",2.4980405,2020/10/17,15:00:00,OCTUBRE,"5",AV SON PILLO,FALSO,,GALATZO,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2020",08:02,19:07,"0,0"
"409",2.5403625,2020/10/17,18:20:00,OCTUBRE,"10",CL CORDOVA,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2020",08:02,19:07,"0,0"
"410",2.5429324,2020/10/17,20:45:00,OCTUBRE,"5",CL MARQUES TORRE,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2020",08:02,19:07,"0,0"
"411",2.5890578,2020/10/18,15:00:00,OCTUBRE,,CL CALA CONTESA,FALSO,,CAS CATALA-SES ILLETES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2020",08:03,19:05,"0,0"
"412",2.5469431,2020/10/19,17:15:00,OCTUBRE,"1",CL SARAGOSSA,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",08:04,19:04,"0,0"
"413",2.5725088,2020/10/21,18:20:00,OCTUBRE,,PZ PORTALS,FALSO,,PORTALS NOUS,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2020",08:06,19:01,"0,0"
"414",2.5041729,2020/10/21,17:40:00,OCTUBRE,"40",CL GIRFALC,FALSO,,SON FERRER,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2020",08:06,19:01,"0,0"
"415",2.5724806,2020/10/22,15:50:00,OCTUBRE,"12",CL MANUEL BOROBIA,FALSO,,PORTALS NOUS,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2020",08:07,19:00,"0,1"
