gid;hora;mes;n;ubicacion;cruce;ubicacion_;nucleo;alcoholemi;gravedad;herido_hos;herido_h_1;fallecidos;alcance;atropello;caida;choque;colision;marcha_atr;salida_de_;sin_clasif;vuelco;autor_desc;n_vehÍc;turismo;furgon;camion;autobus;motociclet;ciclomotor;bicicleta;vmp;peaton;animal;otros;dia_semana;aÑo;fecha;HORARIO_SOL_AMANECER;HORARIO_SOL_OCASO;coord_x;coord_y
"392";11:50;OCTUBRE;"2";CL RAFAEL ALBERTI;FALSO;;BENDINAT;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;3;"2020";2020/10/06;07:51:00;19:23:00;2.5887530000;39.5383580000
"393";08:00;OCTUBRE;"7";CL ORATORI;FALSO;;PORTALS NOUS;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;4;"2020";2020/10/07;07:52:00;19:22:00;2.5728134000;39.5347107000
"394";10:45;OCTUBRE;;CL Z.V. PALMERAS;FALSO;;SANTA PONSA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;4;"2020";2020/10/07;07:52:00;19:22:00;2.4715228000;39.5234623000
"395";11:45;OCTUBRE;"9";CL JAUME I;FALSO;;PALMANOVA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;4;"2020";2020/10/07;07:52:00;19:22:00;2.5330755000;39.5203023000
"396";11:10;OCTUBRE;"18";AV PERE VAQUER;FALSO;;MAGALUF;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"1";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;4;"2020";2020/10/07;07:52:00;19:22:00;2.5358261000;39.5116921000
"397";13:45;OCTUBRE;"1";AV PUIG DE SARAGOSSA;FALSO;;GALATZO;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;5;"2020";2020/10/08;07:53:00;19:20:00;2.4971914000;39.5239970000
"398";14:00;OCTUBRE;"1";CL SARAGOSSA;FALSO;;PALMANOVA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"1";FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;5;"2020";2020/10/08;07:53:00;19:20:00;2.5471630000;39.5289467000
"399";18:50;OCTUBRE;"1";CL MARQUES TORRE;FALSO;;PALMANOVA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;6;"2020";2020/10/09;07:54:00;19:19:00;2.5406092000;39.5275057000
"400";11:55;OCTUBRE;"45";CL VALENCIA;FALSO;;SON BUGADELLES;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;7;"2020";2020/10/10;07:55:00;19:17:00;2.5077487000;39.5297575000
"401";21:00;OCTUBRE;"9";CL BENITO J. FEIJOO;FALSO;;COSTA DEN BLANES;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;7;"2020";2020/10/10;07:55:00;19:17:00;2.5650810000;39.5324753000
"403";23:55;OCTUBRE;;CR MAGALUF-S.PONSA;FALSO;;SON FERRER;NEGATIVO;Fallecido;"0";"0";"1";FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;"1";FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;2;"2020";2020/10/12;07:57:00;19:14:00;2.5073163000;39.4955125000
"402";15:25;OCTUBRE;;CR MAGALUF-S.PONSA;VERDADERO;PASSEIG CALVIA;SA PORRASSA;Positivo;HERIDO_HOSP-24;"2";"0";"0";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;2;"2020";2020/10/12;07:57:00;19:14:00;2.5170957000;39.5018996000
"404";19:35;OCTUBRE;;CL PINZONS;VERDADERO;CL PARIS;PALMANOVA;Positivo;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;"1";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;2;"2020";2020/10/12;07:57:00;19:14:00;2.5342234000;39.5186484000
"405";21:50;OCTUBRE;"15";CR CALA FORNELLS;FALSO;;PAGUERA;Positivo;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;"1";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;2;"2020";2020/10/12;07:57:00;19:14:00;2.4477758000;39.5358396000
"406";14:53;OCTUBRE;;PS ILLETES;FALSO;;CAS CATALA-SES ILLETES;NEGATIVO;HERIDO_HOSP+24;"0";"1";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;"1";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;3;"2020";2020/10/13;07:58:00;19:13:00;2.5889751000;39.5370357000
