gid;hora;mes;n;ubicacion;cruce;ubicacion_;nucleo;alcoholemi;gravedad;herido_hos;herido_h_1;fallecidos;alcance;atropello;caida;choque;colision;marcha_atr;salida_de_;sin_clasif;vuelco;autor_desc;n_vehÍc;turismo;furgon;camion;autobus;motociclet;ciclomotor;bicicleta;vmp;peaton;animal;otros;dia_semana;aÑo;fecha;HORARIO_SOL_AMANECER;HORARIO_SOL_OCASO;coord_x;coord_y
"1";13:25;ENERO;"25";CL RAMON DE MONTCADA;FALSO;;SANTA PONSA;NEGATIVO;HERIDO_HOSP-24;"1";"0";"0";FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;6;"2020";2020/01/03;08:10:00;17:37:00;2.4799049150;39.5192898588
"2";12:00;ENERO;;CL BENITO J. FEIJOO;FALSO;;COSTA DEN BLANES;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;6;"2020";2020/01/03;08:10:00;17:37:00;2.5677552000;39.5332458000
"3";07:30;ENERO;;CL JAPO;FALSO;;PORTALS NOUS;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;6;"2020";2020/01/03;08:10:00;17:37:00;2.5720599000;39.5347013000
"4";17:20;ENERO;"7";AV PLATJA;FALSO;;PALMANOVA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;6;"2020";2020/01/03;08:10:00;17:37:00;2.5388228178;39.5258668963
"5";19:27;ENERO;;AV SANTA PONSA;VERDADERO;GV PORT;SANTA PONSA;Positivo;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;"1";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;6;"2020";2020/01/03;08:10:00;17:37:00;2.4764876000;39.5086956000
"6";19:20;ENERO;"5";CL JOAN ALCOVER;FALSO;;PALMANOVA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;1;"2020";2020/01/05;08:10:00;17:39:00;2.5383184000;39.5251252000
"7";13:33;ENERO;"122";AV REI JAUME I;FALSO;;SANTA PONSA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;"1";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;5;"2020";2020/01/09;08:10:00;17:43:00;2.4883346000;39.5172878000
"8";08:40;ENERO;;CL ARXIDUC;FALSO;;CAS CATALA-SES ILLETES;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;"1";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;5;"2020";2020/01/09;08:10:00;17:43:00;2.5935662000;39.5432770000
"9";19:30;ENERO;;CL PUIG DE LA SIRVI;VERDADERO;AV BLAI BONET;SANTA PONSA;NEGATIVO;HERIDO_HOSP-24;"1";"0";"0";FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"1";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;6;"2020";2020/01/10;08:10:00;17:44:00;2.4779053000;39.4974989000
"10";19:25;ENERO;;CL PUIG DE LA SIRVI;VERDADERO;AV BLAI BONET;SANTA PONSA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"1";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;6;"2020";2020/01/10;08:10:00;17:44:00;2.4778400000;39.4976380000
"11";11:45;ENERO;"102";AV REI JAUME I;FALSO;;SANTA PONSA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;6;"2020";2020/01/10;08:10:00;17:44:00;2.4841577000;39.5157757000
"12";15:00;ENERO;;CL MARTIN ROS GARCIA;VERDADERO;CL CALA BLANCA;MAGALUF;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;6;"2020";2020/01/10;08:10:00;17:44:00;2.5398143000;39.5117664000
"13";04:27;ENERO;;AV PALMERES;FALSO;;MAGALUF;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;"1";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;7;"2020";2020/01/11;08:10:00;17:45:00;2.5306642000;39.5110017000
"14";14:35;ENERO;"21";CL RAMON DE MONTCADA;FALSO;;SANTA PONSA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;7;"2020";2020/01/11;08:10:00;17:45:00;2.4788381838;39.5195543748
"15";13:45;ENERO;"3";CL JAUME I;FALSO;;PALMANOVA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;1;"2020";2020/01/12;08:09:00;17:46:00;2.5346066000;39.5193118000
"16";11:30;ENERO;"47";CL TUDO;FALSO;;SON FERRER;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"1";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;1;"2020";2020/01/12;08:09:00;17:46:00;2.5057574000;39.5003638000
"17";18:15;ENERO;;CL OLIVERA;FALSO;;CAS CATALA-SES ILLETES;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"1";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;1;"2020";2020/01/12;08:09:00;17:46:00;2.5939886000;39.5472146000
"18";13:20;ENERO;;AV REI JAUME I;VERDADERO;CL RIU SIL;SANTA PONSA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;1;"2020";2020/01/12;08:09:00;17:46:00;2.4884673000;39.5176594000
"20";17:15;ENERO;"61";CL VALENCIA;FALSO;;SON BUGADELLES;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;2;"2020";2020/01/13;08:09:00;17:47:00;2.5092275000;39.5305983000
"19";08:30;ENERO;"123";AV REI JAUME I;FALSO;;SANTA PONSA;NEGATIVO;Sin Heridos;"0";"0";"0";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;2;"2020";2020/01/13;08:09:00;17:47:00;2.4891631000;39.5178711000
"21";13:00;ENERO;;CL BENITO J. FEIJOO;FALSO;;COSTA DEN BLANES;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;3;"2020";2020/01/14;08:09:00;17:48:00;2.5648452000;39.5328330000
"22";14:00;ENERO;"11";CL CAN FERRER;FALSO;;SON FERRER;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;"3";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;4;"2020";2020/01/15;08:08:00;17:49:00;2.5058504000;39.4970345000
"23";11:40;ENERO;;CL CONTRALMIRALL FERRAGUT;FALSO;;MAGALUF;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;"1";FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;5;"2020";2020/01/16;08:08:00;17:50:00;2.5339875000;39.5070494000
"24";10:30;ENERO;;AV OLIVERA;VERDADERO;CL MINO;MAGALUF;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;5;"2020";2020/01/16;08:08:00;17:50:00;2.5323096000;39.5129197000
"25";17:00;ENERO;"1";PZ PORTALS;FALSO;;PORTALS NOUS;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"1";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;6;"2020";2020/01/17;08:08:00;17:51:00;2.5723616000;39.5351917000
"26";11:20;ENERO;;AV MALLORCA;FALSO;;BENDINAT;NEGATIVO;HERIDO_HOSP-24;"1";"0";"0";FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"1";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;6;"2020";2020/01/17;08:08:00;17:51:00;2.5874742000;39.5433823000
"27";10:20;ENERO;"3";AV PUIG DE SARAGOSSA;FALSO;;GALATZO;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;VERDADERO;"2";FALSO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;6;"2020";2020/01/17;08:08:00;17:51:00;2.4976575000;39.5241049000
"28";13:40;ENERO;"28";PS MAR;FALSO;;PALMANOVA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;7;"2020";2020/01/18;08:07:00;17:52:00;2.5378249000;39.5225487000
"29";08:55;ENERO;"16";AV OLIVERA;FALSO;;MAGALUF;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"1";FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;1;"2020";2020/01/19;08:07:00;17:53:00;2.5327846000;39.5097789000
"30";16:00;ENERO;;CR MAGALUF-S.PONSA;VERDADERO;CL TUDO;SON FERRER;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;VERDADERO;"1";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;1;"2020";2020/01/19;08:07:00;17:53:00;2.5081994000;39.4958109000
"31";13:10;ENERO;;CR MAGALUF-S.PONSA;FALSO;;SA PORRASSA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;"1";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;1;"2020";2020/01/19;08:07:00;17:53:00;2.5179638000;39.4988090000
"32";18:40;ENERO;"158";AV REI JAUME I;FALSO;;SANTA PONSA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;"1";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;1;"2020";2020/01/19;08:07:00;17:53:00;2.4905506000;39.5183651000
"33";07:49;ENERO;"10";CL MUSSOL;FALSO;;SON FERRER;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;2;"2020";2020/01/20;08:06:00;17:55:00;2.5019880000;39.4940088000
"34";15:50;ENERO;;CL ROSSINYOL;FALSO;;SON FERRER;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;2;"2020";2020/01/20;08:06:00;17:55:00;2.5014179000;39.4945931000
"35";15:30;ENERO;"5";CL BENITO J. FEIJOO;FALSO;;COSTA DEN BLANES;Positivo;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;"1";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;2;"2020";2020/01/20;08:06:00;17:55:00;2.5649661000;39.5327618000
"36";20:20;ENERO;"29";CR MAGALUF-S.PONSA;FALSO;;SON FERRER;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;3;"2020";2020/01/21;08:06:00;17:56:00;2.5123542000;39.4970099000
"37";16:27;ENERO;"33";CL CASTELLO;FALSO;;PALMANOVA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"1";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;3;"2020";2020/01/21;08:06:00;17:56:00;2.5473357000;39.5293406000
"38";11:10;ENERO;;AV PALMERES;VERDADERO;CM PORRASSA;MAGALUF;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;4;"2020";2020/01/22;08:05:00;17:57:00;2.5292908000;39.5048830000
"39";18:10;ENERO;;CR CALA FIGUERA;FALSO;;SA PORRASSA;NEGATIVO;HERIDO_HOSP-24;"1";"0";"0";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;5;"2020";2020/01/23;08:05:00;17:58:00;2.5216195000;39.5193100000
"40";09:45;ENERO;;CR MAGALUF-S.PONSA;FALSO;;SA PORRASSA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;"1";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;5;"2020";2020/01/23;08:05:00;17:58:00;2.5180046000;39.4988536000
"41";23:30;ENERO;"7000";CR ANDRATX;FALSO;;CAS CATALA-SES ILLETES;Positivo;HERIDO_HOSP+24;"0";"1";"0";FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;"1";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;5;"2020";2020/01/23;08:05:00;17:58:00;2.5957666000;39.5473149000
"42";05:20;ENERO;"2";GV ILLA ESPALMADOR;FALSO;;SANTA PONSA;NEGATIVO;HERIDO_HOSP-24;"1";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"3";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;7;"2020";2020/01/25;08:03:00;18:00:00;2.4662100000;39.5003040000
"43";07:20;ENERO;"8";CL LOPE DE VEGA;FALSO;;MAGALUF;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;"1";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;2;"2020";2020/01/27;08:02:00;18:03:00;2.5305211000;39.5046403000
"44";19:00;ENERO;"8";CL LOPE DE VEGA;FALSO;;MAGALUF;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;"1";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;2;"2020";2020/01/27;08:02:00;18:03:00;2.5304138000;39.5046506000
"45";11:30;ENERO;"4";CL CARLOS SAENZ DE TEJADA GARCIA;FALSO;;MAGALUF;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;3;"2020";2020/01/28;08:01:00;18:04:00;2.5342243000;39.5112952000
"46";13:45;ENERO;"44";PS MAR;FALSO;;PALMANOVA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;3;"2020";2020/01/28;08:01:00;18:04:00;2.5364869000;39.5199826000
"47";11:40;ENERO;"23";CL RIU SIL;FALSO;;SANTA PONSA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;3;"2020";2020/01/28;08:01:00;18:04:00;2.4871485000;39.5196728000
"48";09:00;ENERO;"84";CL BELGICA;FALSO;;SANTA PONSA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;4;"2020";2020/01/29;08:00:00;18:05:00;2.4754885000;39.5012093000
"49";14:50;ENERO;;AV TOMAS BLANES TOLOSA;VERDADERO;CL SANTA LAVINIA;COSTA DEN BLANES;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;4;"2020";2020/01/29;08:00:00;18:05:00;2.5662188000;39.5384113000
"50";09:00;ENERO;"158";AV REI JAUME I;FALSO;;SANTA PONSA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;5;"2020";2020/01/30;07:59:00;18:06:00;2.4917819000;39.5190886000
"51";10:10;FEBRERO;;CL MALAGA;FALSO;;PALMANOVA;NEGATIVO;HERIDO_HOSP-24;"1";"0";"0";FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;7;"2020";2020/02/01;07:58:00;18:09:00;2.5401530000;39.5298000000
"52";04:30;FEBRERO;"46";AV OLIVERA;FALSO;;MAGALUF;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;VERDADERO;"1";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;7;"2020";2020/02/01;07:58:00;18:09:00;2.5326284000;39.5118851000
"53";11:10;FEBRERO;"11";PS MAR;FALSO;;PALMANOVA;NEGATIVO;HERIDO_HOSP-24;"1";"0";"0";FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"1";FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;1;"2020";2020/02/02;07:57:00;18:10:00;2.5361147000;39.5196392000
"54";21:10;FEBRERO;"8";(GV PUIG DE MASSANELLA);FALSO;;SANTA PONSA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"1";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;2;"2020";2020/02/03;07:56:00;18:11:00;2.4835600000;39.5140437000
"55";15:50;FEBRERO;;CL MARTINEZ DE LA ROSA;VERDADERO;CL MURILLO;SANTA PONSA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;2;"2020";2020/02/03;07:56:00;18:11:00;2.4688420000;39.4934611000
"56";08:45;FEBRERO;"37";CL REINA ISABEL CATOLICA;FALSO;;SANTA PONSA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;"1";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;2;"2020";2020/02/03;07:56:00;18:11:00;2.4824302000;39.5104330000
"57";16:00;FEBRERO;"1";CL LLUM;FALSO;;PAGUERA;Positivo;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"3";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;3;"2020";2020/02/04;07:55:00;18:12:00;2.4480120000;39.5407880000
"58";16:10;FEBRERO;;CL SON THOMAS;VERDADERO;CL MAR MEDITERRANIA;SON BUGADELLES;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;4;"2020";2020/02/05;07:54:00;18:13:00;2.5020965000;39.5279344000
"59";10:15;FEBRERO;"1";AV CAS SABONERS;FALSO;;MAGALUF;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;4;"2020";2020/02/05;07:54:00;18:13:00;2.5370557000;39.5124398000
"60";20:30;FEBRERO;"5";CM QUARTERADES;FALSO;;CALVIA;NEGATIVO;HERIDO_HOSP-24;"1";"0";"0";FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;"1";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;4;"2020";2020/02/05;07:54:00;18:13:00;2.5141839000;39.5566923000
"62";17:15;FEBRERO;;PZ JARDI;FALSO;;SANTA PONSA;NEGATIVO;Sin Heridos;"0";"0";"0";FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;5;"2020";2020/02/06;07:53:00;18:15:00;2.4900395000;39.5181153000
"61";15:30;FEBRERO;"22";CR CALA FIGUERA;FALSO;;SA PORRASSA;Positivo;Sin Heridos;"0";"0";"0";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;"2";VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;5;"2020";2020/02/06;07:53:00;18:15:00;2.5189355000;39.5058809000
